planets_name,a,e,i,capom,omega,M,mass,radio,period,mass_grav,gmpl,x,y,z,vx,vy,vz
Venus,0.72333199,0.00677323,3.39471,76.68069,131.53298,181.97973000000002,4.8675e+24,6051.8,224701.0,7.243456286440951e-10,0.0002959147012452246,-0.6939512020225774,-0.18264357981150545,0.03756080614670398,0.005182337587070393,-0.019681116845778827,-0.0005680930762908757
Earth,1.00000011,0.01671022,5e-05,-11.260639999999999,102.94719,100.46435,5.9723e+24,6378137.0,365256.0,8.887538567953013e-10,0.0002959148656534527,0.0387832454389138,0.9825631009087146,8.475503086095967e-07,-0.01747855844834093,0.0006701008318299628,-2.404959205120023e-09
Mars,1.52366231,0.09341233,1.8506099999999999,49.578540000000004,336.04084,355.45332,6.4171e+23,3396.2,686.98,9.549457285201896e-11,0.00029591407239416877,-1.1203591617218662,-1.2165887934866326,0.0020705206921684816,0.009725726504364055,-0.008298849564023963,-0.0004130948464228573
Jupiter,5.20336301,0.04839266,1.3053,100.55615,14.75385,34.404379999999996,1.89819e+27,71492.0,4332589.0,2.824747054619281e-07,0.00029619645160505786,1.6243413996869855,-5.204891405379511,-0.014658506509152708,0.006878327910547935,0.0020939098203029806,-0.00016281585878773726
Saturn,9.53707032,0.0541506,2.48446,113.71503999999999,92.43194,49.944320000000005,5.6834e+26,60268.0,10759.22,8.457618789595995e-08,0.0002959985530874919,-8.998631260782888,-0.8882655419569683,0.3729740461460574,0.0006842233733093863,-0.005822655344434232,7.44279886978902e-05
Uranus,19.19126393,0.04716771,0.76986,74.22988000000001,170.96424,313.23217999999997,8.6813e+25,25559.0,30685.4,1.2918873561269611e-08,0.00029592689577315716,-18.510974511628234,-2.47015972058617,0.23035578021062816,0.0006880179828976168,-0.0039744182085796175,-2.34117402283681e-05
Neptune,30.06896348,0.00858587,1.7691700000000001,131.72169,44.97135,304.88003,1.02413e+26,24764.0,60189.0,1.5240351076800764e-08,0.0002959292172506727,30.205399926802013,2.5776839294348752,-0.7493462959136805,-0.0002696909323434409,0.003098356638244348,-5.7472755070046304e-05
